RecipeName,Ingredients,Course,Cuisine,Diet,TranslatedInstructions,TotalTimeInMins,Cuisine_Clean,MealType,Cleaned_Ingredients
Chow-Chow Kothamalli Chutney Recipe - Chayote Coriander Chutney,"1 Chow chow (chayote squash) - diced,1 cup Coriander (Dhania) Leaves,2 teaspoon White Urad Dal (Split),1 teaspoon Chana dal (Bengal Gram Dal),30 grams Tamarind,3 Dry Red Chillies,2 teaspoon Sunflower Oil,Salt - to taste",Side Dish,South Indian Recipes,Diabetic Friendly,"To make this Chow-Chow Kothamalli Chutney Recipe| Chayote Coriander Chutney, clean, peel and dice the chayote and get ready with the other ingredients.In a saucepan, heat oil, add urad dal, channa dal, and mix them well.After they turn golden brown, add chillies and sauté.Add the diced chow-chow and sauté them till they are cooked but firm.Add tamarind to chow chow and sauté.After the chow chow is cooked, turn off the flame and let it cool.In a mixer, add coriander leaves, chow-chow mixture, and salt to taste.Grind to a smooth chutney. Add water only if needed. If needed you can temper them with some mustard seeds, urad dal, and curry leaves.Serve Chow-Chow Kothamalli Chutney Recipe| Chayote Coriander Chutney with idlis, onion rava dosa recipe or as an accompaniment with full course lunch.",40,South Indian,Side Dish,"['chow chow', 'coriander', 'white urad dal', 'chana dal', 'tamarind', 'red chillies', 'sunflower oil']"
Gujarati Style Multigrain Masala Kadak Puri Recipe - Masala Mathri,"1-1/2 cup Whole Wheat Flour - or multigrain flour,1/2 cup Rice flour,3 tablespoons Ghee,1 teaspoon Red Chilli powder,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),1 tablespoon Coriander (Dhania) Seeds - roasted,Salt - as per taste,Sunflower Oil - for deep frying",Snack,Gujarati Recipes﻿,Vegetarian,"To begin making the Gujarati Style Multigrain Masala Kadak Puri Recipe, in a large bowl combine multigrain flour, rice flour, haldi, crushed coriander seeds, cumin seeds, asafoetida, red chili powder, salt and 3 tablespoons ghee. Bring the dough together with your fingers. Add little water to the kadak puri (mathri) flour mixture and knead to make a firm dough. The dough should be of stiff consistency. Cover the kadak puri dough and keep it aside for 25 to 30 minutes.Once the dough is well rested, knead again to bring it together.Preheat the oil in the deep frying pan on medium heat. Roll the dough into a large circle of about 1/2 inch thickness. Use a cookie cutter to make small circles of 1-1/2 inch diameter. Prick the circles with a fork and keep aside. You can alternatively make tiny balls and roll each ball of dough into circles.Once the oil is hot, deep fry the puris on medium heat until crisp and golden. Once done, drain the Masala Kadak Puri (Mathri) on an absorbent paper.Repeat the same for the rest of the mathri dough and allow them to cool completely before storing.Store the Gujarati Style Multigrain Masala Kadak Puri  in a clean airtight container up to 2 weeks.Serve Gujarati Style Multigrain Masala Kadak Puri at tea time along with chai with Achar and Chai.",60,Gujarati,Snack,"['rice flour', 'ghee', 'red chilli powder', 'cumin seeds', 'asafoetida', 'coriander seeds', 'sunflower oil']"
Ringan Methi Nu Shaak Recipe - Gujarati Style Eggplant & Fenugreek Leaves Sabzi,"15 Small Brinjal (Baingan / Eggplant) - cut into long strips,2 cups Methi Leaves (Fenugreek Leaves) - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,2 teaspoons Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),2 teaspoons Jaggery - powdered,2 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1 tablespoon Sunflower Oil,Salt - to taste",Lunch,Gujarati Recipes﻿,Vegetarian,"To begin making the Ringan Methi Nu Shaak Recipe (Gujarati Style Eggplant and Fenugreek Leaves Sabzi), wash and cut the brinjals into long strips and keep them immersed in a bowl of salted water to avoid discolouration.Heat oil in a heavy bottomed pan on medium flame, add in the mustard seeds, cumin seeds and let it crackle.Drain the eggplants from water and add it to the pan.Season with little salt, mix well and let the eggplants cook in its own water until its half cooked. This will take around 5 minutes. Now, add in the fenugreek leaves and saute for a minute.Cover the pan and allow the brinjal and methi to completely cook through. Add the turmeric, cumin, coriander, red chilli powder and mix well. Saute the vegetables occasionally and let the water dry out completely.Add the jaggery, amchur powder to Ringan Methi Nu Shaak and mix well. Once the vegetables comes together, switch off the heat.Serve this Ringan Methi Nu Shaak Recipe (Gujarati Style Eggplant and Fenugreek Leaves Sabzi) along with Phulkas, Gujarati Dal and Kachumber Salad for a delicious weekday lunch.",25,Gujarati,Lunch,"['brinjal', 'methi', 'turmeric powder', 'red chilli powder', 'coriander powder', 'cumin powder', 'jaggery', 'amchur', 'mustard seeds', 'cumin seeds', 'sunflower oil']"
Dahi Baingan Recipe - Brinjal In Curd Based Gravy,"5 Brinjal (Baingan / Eggplant) - chopped to bite size,1 Onion - finely sliced,2 Tomatoes - finely sliced,1 cup Curd (Dahi / Yogurt),2 tablespoon Gram flour (besan),2 teaspoon Coriander Powder (Dhania),2 teaspoons Red Chilli powder - (adjust to taste),1-1/2 teaspoons Garam masala powder,1 teaspoon Fennel Powder,1 pinch Turmeric powder (Haldi),Salt - to taste,3 Dry Red Chillies - (adjust to taste),2 tablespoons Sesame seeds (Til seeds),Coriander (Dhania) Leaves - a small bunch,Sunflower Oil - as needed,1 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1/2 teaspoon Black Urad Dal (Split),2 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,1 Bay leaf (tej patta),1 inch Cinnamon Stick (Dalchini),Curry leaves - a few,1/2 tablespoon Ginger Garlic Paste",Side Dish,North Indian Recipes,Vegetarian,"To begin making the Dahi Baingan Recipe (Brinjal In Curd Based Gravy), prepare all the ingredients, with chopping veggies and keeping all the other ingredients handy.In a shallow frying pan, heat about 2 teaspoons of cooking oil, and saute all the brinjal cubes lightly without making them mushy, on a medium flame till the brinjals are browned. Switch off and keep aside.In a mixing bowl, mix curd (yogurt) and besan until there are no lumps. Now add coriander powder, red chilli powder, fennel powder, garam masala, turmeric powder to the bowl and mix well.Take a kadai and dry roast sesame seeds and dry red chillies. Once they cool down to room temperature, blend them in a mixer to a fine powder.Now take little oil in the same kadai, heat. Once it is heated, add mustard seeds and cumin seeds. Let it splutter.Add split urad dal, cloves, cinnamon, cardamom, bay leaf and wait for it to change color. When color changes add curry leaves, allow them to splutter and add ginger garlic paste immediately and fry for a few seconds till the raw smell disappears.Add finely sliced onions and fry on medium heat until onion i brownish.Add sliced tomatoes and cook until they turn soft and mushy. Once the tomatoes are cooked, add curd besan and spice powder mix from the bowl and fold till everything gets mixed well.Now add the brinjal cubes which were previously sauteed and continue cooking for some more time till the masala gets seeped into the brinjal, by cooking covered and sauteing occasionally.Add salt, mix, do a taste check and garnish the Dahi Baingan with coriander leaves and switch off heat.You can serve Dahi Baingan Recipe (Brinjal In Curd Based Gravy) with Phulka Recipe or Pudina Tawa Paratha. You can also serve it with mild Saffron Pilaf Recipe (Kesar Pulao).
",51,North Indian,Side Dish,"['brinjal', 'onion', 'tomatoes', 'curd', 'flour', 'coriander powder', 'red chilli powder', 'fennel powder', 'turmeric powder', 'red chillies', 'sesame seeds', 'coriander', 'sunflower oil', 'cumin seeds', 'mustard seeds', 'black urad dal', 'cloves', 'cardamom pods seeds', 'bay', 'inch cinnamon stick', 'curry', 'ginger garlic paste']"
Brinjal Mor Kuzhambu Recipe,"3 Brinjal (Baingan / Eggplant) - cubed,1 cup Tamarind Water,1 teaspoon Turmeric powder (Haldi),Salt - to taste,2 teaspoons Chana dal (Bengal Gram Dal),2 teaspoons Arhar dal (Split Toor Dal),2 teaspoons Rice,2 cup Curd (Dahi / Yogurt),2 tablespoon Fresh coconut - pieces (adjust quantity according to taste),2 teaspoons Sunflower Oil,1 teaspoon Mustard seeds,1 teaspoon Black Urad Dal (Split),3/4 teaspoons Methi Seeds (Fenugreek Seeds),8-10 Curry leaves,5 Dry Red Chillies,1 pinch Asafoetida (hing)",Lunch,Tamil Nadu,Vegetarian,"To begin making the Brinjal Mor Kuzhambu Recipe, soak the the dals - chana dal, toor and rice in lukewarm water and rest it for at least 30 minutes.Once done grind the dals and rice with little water to a smooth paste and add coconut and curd and grind it again in the same mixer to a smooth paste and keep it aside.Heat a kadai with oil, add chopped brinjal, sprinkle with salt and turmeric and cook till it becomes soft.Pour in the tamarind water and allow it to cook for at least 15 minutes until the brinjal becomes quite mushy.Mix in the curd and the freshly ground dal-rice paste into the kadai and stir well, sprinkle salt and pour in some more water to adjust the consistency.Allow it to boil for at least 10 minutes until the raw smell of the rice and dal goes away. Switch off the heat and keep it aside.Heat a tempering pan with oil, add mustard seeds , urad dal and fenugreek seeds and allow it to sizzle.Add curry leaves and dry red chillies and allow it to crackle for few seconds.Sprinkle a pinch of hing at the end and pour this over the mor kuzhambu and serve hot.Serve the Brinjal Mor Kuzhambu Recipe along with steamed rice, Beetroot Poriyal Recipe or a Chow Chow Thoran (Poriyal) Recipe to make it a complete meal.",55,Tamil Nadu,Lunch,"['brinjal', 'tamarind', 'turmeric powder', 'chana dal', 'arhar dal', 'rice', 'curd', 'coconut', 'sunflower oil', 'mustard seeds', 'black urad dal', 'methi seeds', 'red chillies', 'asafoetida']"
No Bake Rice Mawa Cake Recipe,"1 cup Poha (Flattened rice),1 cup Sugar,1 cup Khoya (Mawa),1 teaspoon Cardamom Powder (Elaichi),1 Saffron strands - few,1/4 cup Milk - warm,1/4 cup Ghee,1/4 cup Pistachios - roughly chopped",Dessert,North Indian Recipes,Vegetarian,"To begin making the No Bake Rice Mawa Cake Recipe (Burfi Recipe), first get all the ingredient prepped and ready.Soak the flattened rice in water for 5 minutes, drain excess water and grind it into a coarse mixture using a mixer grinder. Keep it aside.Meanwhile, dissolve the saffron in 1/4 cup warm milk and keep aside.Heat a heavy bottomed pan with 2 tablespoons of ghee, add the mawa and stir into the ghee on medium heat. Keep stirring until you can get a good aroma.Once you smell a good aroma, add the sugar and stir well. Add the ground poha, the cardamom powder and milk and stir. Keep stirring until the entire mixture comes together and you notice a shine on the burfi batter.It will feel as if the ghee is separated from the batter and the entire cake dough comes away from the sides of the pan.At this stage, grease a square cake tray with ghee. Spoon the Mawa Batter into the tray and spread it evenly down. Garnish it with chopped pistachios and refrigerate it for an hour to set.Once the Rice Mawa Cake is set, cut into desired shapes and serve.Serve No Bake Rice Mawa Cake Recipe after your everyday meal of Dal Makhani, Aloo Shimla Mirch Ki Sabzi and Tawa Paratha.
",70,North Indian,Dessert,"['poha', 'sugar', 'khoya', 'cardamom powder', 'saffron strands', 'milk', 'ghee', 'pistachios']"
Bajri-Til Bhakri Recipe (Sesame Crusted Bajra Flatbread),"3 cups Bajra Flour ( Pearl Millet),1/4 cup Sesame seeds (Til seeds),Salt - to taste,Lukewarm Water - as required",Indian Breakfast,Maharashtrian Recipes,Diabetic Friendly,"To begin making the Bajri-Til Bhakri, first sift the bajra flour and salt together in a deep mixing bowl.Knead the dough well with 1/4 cup of lukewarm water at a time, until it comes together in a smooth ball. The dough will be similar to what we prepare for Makke Ki Roti.Grease the dough with ghee, cover with a muslin cloth and let rest for 10 minutes.Meanwhile heat tawa over medium heat. Dust your rolling surface with little whole wheat flour.Divide the dough into 6 - 8 equal portions and roll out a portion of the dough into a round and thick roti using your hands. You can shape the roti by pressing out a circle with your fingers as well.Place the roti over the pre-heated skillet and spread a little water on the surface of the bhakri.Now sprinkle some sesame seeds on the surface and press lightly with a flat spatula, so that the seeds stick to the upper part of the roti.Turn over the roti and cook the other side for a few more seconds.Lift the roti tongs and roast over the direct flame till brown spots appear on both the sides.Similarly, prepare the remaining Bajri-til Bhakri and serve it with a dollop of ghee and Bhogichi Bhaji.",40,Maharashtrian,Breakfast,"['bajra flour', 'sesame seeds', 'lukewarm']"
Ragi Wheat Phulka Recipe- Diabetic Friendly Ragi Roti,"1/2 cup Ragi Flour (Finger Millet/ Nagli),1 cup Whole Wheat Flour,Salt - to taste,1 teaspoon Sunflower Oil,Ghee - to serve",Main Course,Indian,Diabetic Friendly,"To begin making the Ragi Wheat Phulka Recipe, in a large bowl combine the ragi flour, wheat flour and salt; add a little water at a time to make firm dough. Add a teaspoon of oil to coat the dough and knead for a few more minutes until smooth. Divide the dough into equal portions.Cover and set the dough aside to rest for 15 minutes. Preheat the tawa on medium high heat.Take one dough ball, flatten these balls between your palms.Toss it in the flour and roll out into thin circles of 6-7 inches in diameter.Place rolled ragi wheat phulka dough on the hot tawa. In a few seconds you will notice that small air pockets start to form. At this point flip the ragi phulka to the other side on the tawa. Flip over again and cook the first side pressing lightly with a napkin. The rolled out ragi phulka dough should begin to start puffing up. At this stage place the Ragi wheat phulka on the direct flame, allow it to puff up. With a help of a tong flip the ragi phulka again and cook the other side for a few more seconds.Once cooked remove the Ragi Wheat Phulka from the heat, transfer onto a plate, smear ghee generously on the ragi wheat phulka and serve. Continue the process of rolling with the remaining portions of the ragi dough and cooking them on the tawa. Serve this Ragi Wheat Phulka Recipe along with Horsegram Dal Recipe, Keerai Masiyal Recipe and Beetroot, Carrot & Cucumber Salad with Peanuts Recipe for a complete Diabetic Friendly meal.",25,Indian,Main Course,"['ragi flour', 'wheat flour', 'sunflower oil', 'ghee']"
Karnataka Style Bassaru Palya Recipe - Toor Dal And Dill Leaves Stir Fry,"1 cup Arhar dal (Split Toor Dal),1/2 cup Dill leaves,1 Onion - chopped,4 cloves Garlic - crushed,1 teaspoon Mustard seeds,2 Dry Red Chillies,1 teaspoon White Urad Dal (Split),1 teaspoon Chana dal (Bengal Gram Dal),1 sprig Curry leaves,1 teaspoon Turmeric powder (Haldi),Salt - to taste",Side Dish,Karnataka,Vegetarian,"To begin making the Karnataka Style Bassaru Palya Recipe, firstly pressure cook the toor dal with 2 cups of water in a pressure cooker, add a little salt as well. Cook for about 2 whistle.Then once done, add in the dill leaves, and add about 1/2 cup of water and pressure cook again for about 1 whistle.Once done, drain all the water and keep the cooked dal and dill leaves.Heat a kadai with oil, and crackle the mustard seeds, urad dal, chana dal, dry red chilli and curry leaves.Add in onions and garlic and saute till it translucent. Then add in the cooked dal mixture and give it stir, season it with salt and turmeric powder. Mix well and serve. Serve the Karnataka Style Bassaru Palya Recipe along with Keerai Sambar and Steamed Rice for your everyday meals or serve it along with Tawa Paratha and Boondi Raita.
",25,Karnataka,Side Dish,"['arhar dal', 'dill', 'onion', 'cloves garlic', 'mustard seeds', 'red chillies', 'white urad dal', 'chana dal', 'curry', 'turmeric powder']"
Karwar Style Phodni Phov Recipe- Red Rice Poha With Cashew Nuts,"2 cups Red Poha (Flattened Red Rice),4 tablespoons Fresh coconut - grated,1/2 cup Cashew nuts - broken into half,1 teaspoon Mustard seeds,1/2 teaspoon White Urad Dal (Split),1/2 teaspoon Chana dal (Bengal Gram Dal),1 pinch Asafoetida (hing),1 sprig Curry leaves,2 teaspoons Sunflower Oil,2 teaspoon Lemon juice,Salt - to taste",South Indian Breakfast,Karnataka,Vegetarian,"To begin making Karwar Style Phodni Phov Recipe ( Red Rice Poha With Cashew Nuts), rinse the red poha in running water and then soak it in hot water for 8 minutes. Drain and wash again in cold water and keep aside in a strainer.Heat oil in a pan, add mustard seeds, urad and chana dal and let it splutter.Add asafoetida, curry leaves and let it crackle.Add the cashew nuts and saute until they have turned golden brown in colour.Now, add the drained red poha, season with salt and saute gently till everything comes together.Cover with a lid and cook for about 10 minutes or till done.Once done, add in the grated coconut, lemon juice and mix gently and switch off the heat.Serve the Karwar Style Phodni Phov Recipe ( Red Rice Poha With Cashew Nuts) for a healthy breakfast with a filter coffee or an evening after school snack along with Muskmelon (Kharbuj) Juice Recipe.",20,Karnataka,Breakfast,"['red poha', 'coconut', 'cashew nuts', 'mustard seeds', 'white urad dal', 'chana dal', 'asafoetida', 'curry', 'sunflower oil', 'lemon juice']"
Murgh Ajmeri Recipe,"1 kg Chicken - cut into medium size pieces,4 tablespoon Ghee - or oil,4 Onion - coarsely ground,2 tablespoon Coriander Powder (Dhania),1 tablespoon Red Chilli powder,1 teaspoon Garam masala powder,2 tablespoon Fresh cream,2 tablespoon Cashew nuts - chopped (optional),Salt - as needed,3 Mint Leaves (Pudina) - roughly torn,2 tablespoon Coriander (Dhania) Leaves - freshly chopped for garnish,1 cup Curd (Dahi / Yogurt) - whisked,2 tablespoon Ginger - paste,2 tablespoon Garlic - paste,1 tablespoon Green Chilli - paste,1 tablespoon Mustard oil - (optional),1 teaspoon Salt,1 teaspoon Lemon juice,2 Bay leaves (tej patta),4 Whole Black Peppercorns,4 Cloves (Laung),2 Black cardamom (Badi Elaichi),4 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),1 teaspoon Mace (Javitri),1/2 teaspoon Ajwain (Carom seeds) - (optional)",Dinner,Rajasthani,High Protein Non Vegetarian,"To begin making the Murgh Ajmeri recipe, clean and wash chicken nicely collect in a bowl.Add all the above mentioned ingredients under 'marination' and mix well with the chicken. Cover the bowl with a lid or cling wrap it and refrigerate it for 1 hour.Heat oil or ghee in a pan and add all the above mentioned ingredients under 'whole spices' and let them crackle.Now add coarsely ground onion and saute till raw smell goes off and it turns golden in colour. Add marinated chicken pieces along with marination and mix well, fry till curd starts leaving water.Keep the flames high and allow the curd water to dry.Now add coriander powder, red chilli powder, garam masala powder and mix well.Add some torned mint leaves while the chicken is frying with the masala for some aroma.Let the chicken cook on low heat till oil starts leaving from sides. This might take around 25 to 30 minutes. Adjust salt as needed and add fresh cream, chopped cashews and mix well. Cook on low heat for another 5 mins.Once the chicken masala is nicely fried and oil starts oozing out from sides, add warm water to the chicken to make curry as per required consistency. Usually the curry is thick so add water accordingly.Check salt again and adjust if needed. Mix well and let the chicken cook in low heat with lid closed until soft and tender.Turn off the heat and garnish the curry with fresh chopped coriander. Serve Murgh Ajmeri along with Garlic Naan or Jeera Rice and Onion salad for a weeknight dinner.",100,Rajasthani,Dinner,"['kg chicken', 'ghee', 'onion', 'coriander powder', 'red chilli powder', 'garam masala powder', 'cream', 'cashew nuts', 'mint', 'coriander', 'curd', 'ginger', 'garlic', 'green chilli', 'mustard oil', 'lemon juice', 'bay', 'black peppercorns', 'cloves', 'black cardamom', 'cardamom pods seeds', 'inch cinnamon stick', 'mace']"
Aam Ki Kheer Recipe - Mango Coconut Payasam Recipe,"2 Mango (Ripe),1 cup Coconut milk,1/4 cup Palm sugar,1 teaspoons Cardamom Powder (Elaichi),3 tablespoons Fresh coconut - or dessicated coconut (grated),2 tablespoons Badam (Almond) - sliced or chopped,1 teaspoon Ghee",Dessert,Kerala Recipes,Vegetarian,"To begin making the Aam Ki Kheer/ Mango Coconut Kheer recipe, wash the mangoes and cut the mango into slices. Add it to a blender (reserving few pieces for garnishing) and blend into thick puree adding little water.Heat a heavy bottomed pan with a teaspoon of ghee. Pour the mango puree and cook in low flame until it comes to boil.Add palm sugar and cardamom powder to it. Mix well and boil until sugar dissolves.Switch off the flame, add fresh coconut and coconut milk to make the Aam Ki Kheer. Mix well and add chopped badam. Pour the Aam Ki Kheer/ Mango Coconut Kheer into serving glasses and add fresh mango pieces on top and server chilled. Serve Aam Ki Kheer Recipe/ Mango Coconut Kheer as a dessert after your festive meal of Mixed Vegetable Sambar, Steamed Rice, Pineapple Rasam, Chow Chow Thoran, Yellow Cucumber Pachadi and Elai Vadam.
",20,Kerala,Dessert,"['mango', 'coconut milk', 'palm sugar', 'cardamom powder', 'coconut', 'badam', 'ghee']"
Lemon Coconut Chia Energy Balls Recipe,"1 cup Dates - pitted,1/2 cup Badam (Almond),1/2 cup Fresh coconut - unsweetened and shredded  + ½ cup shredded coconut (for dusting the balls),1/4 cup Chia Seeds,1/2 Lemon juice,1/2 teaspoon Lemon zest",Snack,Indian,Vegetarian,"To begin making the Lemon Coconut Chia Energy Balls recipe, add dates in the food processor and process them to break into small pieces.Add almonds, chia seeds, lemon juice and process them until they are combined togetherAdd lemon zest and process them until they come together as a dough. Scoop using a spoon and roll them into balls.Dust the rolled balls with the shredded coconut. Place in an airtight container and store in refrigerator for about a month.Serve Lemon Coconut Chia Energy Balls as a tea time snack or pack it in your kids snack box.
",20,Indian,Snack,"['dates', 'badam', 'coconut', 'chia seeds', 'lemon juice', 'lemon zest']"
Kashmiri Style Gushtaba Recipe - Mutton Kofta in Curd,"300 grams Mutton Kheema,1 teaspoon Cardamom Powder (Elaichi),1 inch Ginger - chopped,1/2 cup Curd (Dahi / Yogurt),1/4 cup Milk,1 Bay leaf (tej patta),1 inch Cinnamon Stick (Dalchini),3 Cloves (Laung),1 teaspoon Fennel seeds (Saunf),1 teaspoon Cumin seeds (Jeera),1 teaspoon Dry ginger powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Ghee - for cooking",Lunch,Kashmiri,Non Vegeterian,"To begin making the Kashmiri Style Gushtaba Recipe, Add keema, cardamom powder and ginger into a mixer and give it a blitz.Once it is done, you can take a little of the kheema mix and shape them into a cylindrical shape. Do the same for the rest of the mixture.Heat a kadai with ghee, add all the whole spices (Bay leaf, cumin seeds, Cinnamon Sticks, cloves and fennel seeds) and allow it to sizzle for few seconds.Whisk in curd with 1 cup of water and add the curd into the kadai. Keep the flame low.Add turmeric powder, dry ginger powder and salt, mix well. Add milk as well and give it a stir.Slowly drop in the kheema balls and cook for at least 20 minutes. Let the meatballs soak in all the flavors really well.Serve the Kashmiri Style Gushtaba Recipe along with Butter Garlic Naan Recipe or Phulka to make it a complete meal.
",55,Kashmiri,Lunch,"['mutton kheema', 'cardamom powder', 'inch ginger', 'curd', 'milk', 'bay', 'inch cinnamon stick', 'cloves', 'fennel seeds', 'cumin seeds', 'ginger powder', 'turmeric powder', 'ghee']"
Gujarati Wadi Pulao Recipe,"3/4 cup Basmati rice,1/2 cup Badi (wadi),2 Green Chillies - finely chopped,1 sprig Curry leaves,1 tablespoon Chana dal (Bengal Gram Dal),1 tablespoon White Urad Dal (Split),1 teaspoon Mustard seeds,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Lemon juice,1 Asafoetida (hing),Salt - to taste,Sunflower Oil - for cooking",Lunch,Gujarati Recipes﻿,Vegetarian,"To begin making the Gujarati Wadi Pulao Recipe, wash and soak the rice for 10 to 15 minutes.Heat 2 tablespoons of oil in a wok or a kadai and stir fry the wadi until golden brown in color. Once done, remove the wadi from the oil and keep aside.In the same kadai, heat a teaspoon of oil; add the mustard seeds, urad dal, chana dal and fry until the dals have slightly changed color and are well roasted. Add asafoetida, green chilies and curry leaves and saute for a few seconds.Add the fried wadi, soaked rice and salt. Give it a good stir. Add 2 cups of water and bring the pulao to a brisk boil.Once the rice comes to a brisk boil, turn the heat to low, cover the pan and cook until all the water is absorbed and the rice is completely cooked. Once cooked, turn off the heat and allow the rice to rest for another 10 minutes.After 10 minutes stir in a tablespoon of ghee and the juice from the lemon. Serve Gujarati Wadi Pulao along with Tomato Onion Tadka Raita and a roasted Papad for a weekday meal. You can also pack this in your Lunch Box.
",65,Gujarati,Lunch,"['basmati rice', 'badi', 'green chillies', 'curry', 'chana dal', 'white urad dal', 'mustard seeds', 'turmeric powder', 'lemon juice', 'asafoetida', 'sunflower oil']"
Raw Banana Cutlet Recipe - No Onion No Garlic Jain Cutlet,"2 Raw Banana,1/2 cup Fresh coconut - grated,1 Green Chillies,Salt - to taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Black pepper powder,1 teaspoon Chaat Masala Powder,Sunflower Oil - for basting or shallow frying",Snack,North Indian Recipes,Vegetarian,"To begin making the Raw Banana Cutlet recipe, wash and place the raw green bananas along with the peelin a pressure cooker. Pressure cook for 4 whistles and turn off the flame. Allow the pressure to release naturally. Once the pressure has released, remove the raw bananas, peel of the skin and discard the peel. Transfer the banana into a mixing bowl. Into the same mixing bowl, add the grated coconut, salt, pepper powder, chaat masala, and cumin powder, mix well until combined. Make round balls of equal sizes, flatten them between your palms.Now heat a skillet on medium flame, add very little oil and place the raw banana cutlets in them. Cook for 5-7 minute, flip and cook on the other side as well. The tikkis should be well cooked having a lovely golden brown colour. Serve Raw Banana Cutlet Recipe along with Green Chutney and some piping hot tea for your evening snack.
",40,North Indian,Snack,"['raw banana', 'coconut', 'green chillies', 'cumin powder', 'black pepper powder', 'chaat masala powder', 'sunflower oil']"
Carrot Paruppu Usili Recipe - Steamed Lentils Crumbled With Carrots,"1 cup Carrots (Gajjar) - cut into small cubes,1 teaspoon Mustard seeds,1 Dry Red Chilli,1/2 teaspoon Asafoetida (hing),1 sprig Curry leaves,3 teaspoons Sunflower Oil,Salt - to taste,1 cup Arhar dal (Split Toor Dal),1 teaspoon Fennel seeds (Saunf),2 Dry Red Chillies,Salt - to taste",Lunch,Tamil Nadu,Vegetarian,"To begin making the Carrot Paruppu Usili Recipe, wash and soak toor dal for 30 minutes.After 30 minutes drain the water from dal. Combine the soaked toor dal along with fennel seeds, dried red chillies, and salt in a mixer jar and grind to a coarse mix using a mixer grinder. Transfer to a bowl. Heat an idli steamer on medium heat, with a cup of water. Grease the idli mould and keep it ready. Now make small lemon sized balls of the prepared toor dal mix, and place it in the idli mould. Cover and steam cook for 10 minutes, until the dal mixture is cooked. (Don't make the ball of dals too tight as the lentils will not steam very well)In a wide pan, add oil and heat it on medium heat, add the mustard seeds, asafoetida and let it splutter. Add the dried red chilli, curry leaves and let it crackle.Add the cubed carrots, season with salt, mix well, cover and cook for 5-7 minutes until the carrots are cooked well.Meanwhile, remove the steamed toor dal balls, crumble it with your hands so that it resembles the sandy texture.Once the carrots are cooked well, add this crumbled toor dal mix to the pan and mix well.At this stage you can add a teaspoon or two of oil, if the mixture looks too dry.Saute for 2 minutes, until the dal crumbles are nice and crispy and switch off the heat. It is ready to be served.Serve Carrot Paruppu Usili Recipe along with Steamed Rice, Jeera Milagu Rasam, Chow Chow Poricha Kootu and Roasted Papad for a weekend lunch.
",40,Tamil Nadu,Lunch,"['carrots', 'mustard seeds', 'red chilli', 'asafoetida', 'curry', 'sunflower oil', 'arhar dal', 'fennel seeds', 'red chillies']"
Stuffed Chicken Recipe With Mixed Vegetables,"1 Chicken - (whole),3 tablespoon Tandoori masala,1/2 cup Curd (Dahi / Yogurt),1 Lemon - juiced,Salt - to taste,1 cup Homemade tomato puree,1/2 cup Tomato Ketchup,1/4 cup Fresh cream,2 teaspoon Red Chilli powder,4 tablespoon Cashew nuts - ground to paste,Salt - to taste,1 Potato (Aloo) - boiled and mashed,1 Carrot (Gajjar) - grated and blanched,2 tablespoon Green peas (Matar) - boiled,1 teaspoon Chaat Masala Powder,1/2 teaspoon Black pepper powder - freshly ground,2 tablespoon Coriander (Dhania) Leaves - chopped and more to garnish,Salt - to taste",Side Dish,Indian,High Protein Non Vegetarian,"To begin making Stuffed Chicken Recipe With Mixed Vegetables, wash and clean the chicken thoroughly well.Now marinate the whole chicken with tandoori masala, curd, salt and lemon juice. Let the chicken marinate for about 2-3 hours.After 2-3 hours, bake the marinated chicken at 425 F for 45 minutes.Make stuffing in a large mixing bowl by mixing boiled potatoes, Carrots ,peas, coriander leaves,chaat masala , salt and black pepper. Set it aside.Preheat oven to 350 degree F.Heat oil in a pan on medium flame, to this add tomato puree, tomato ketchup, salt, red chilli powder and the cashew paste. Once the mixture begins to bubble up, turn down the heat, and add in the cream. Simmer for a couple of minutes more until the gravy is nice thick and creamy. Now cut open the chicken to slice in middle and stuff with vegetable stuffing and top it with tomato gravy then bake it on 350 degrees F for 15 minutes.Serve Stuffed Chicken Recipe With Mixed Vegetables along with Butter Garlic Naan Recipe (Garlic Flavoured Flat Bread) and Carrot Cucumber Tomato Salad with Lemon and Coriander Recipe.
",60,Indian,Side Dish,"['chicken', 'tandoori masala', 'curd', 'lemon', 'homemade tomato puree', 'tomato ketchup', 'cream', 'red chilli powder', 'cashew nuts', 'potato', 'carrot', 'green peas', 'chaat masala powder', 'black pepper powder', 'coriander']"
